Modell,Epoche,train_loss,val_loss,val_auc
Modell A,1,0.6938,0.6929,0.5252
Modell A,2,0.6926,0.6958,0.4863
Modell A,3,0.6936,0.6937,0.5653
Modell A,4,0.6932,0.6937,0.5238
Modell A,5,0.693,0.6937,0.534
Modell A,6,0.6932,0.6937,0.5097
Modell A,7,0.6931,0.6936,0.5069
Modell A,8,0.693,0.6936,0.4974
Modell A,9,0.693,0.6937,0.4892
Modell A,10,0.693,0.6937,0.4514
Modell A,11,0.6933,0.6936,0.4908
Modell A,12,0.6932,0.6936,0.4956
Modell A,13,0.6931,0.6935,0.5164
Modell A,14,0.6932,0.6936,0.5127
Modell A,15,0.6929,0.6942,0.4954
Modell B,1,0.7273,0.7293,0.5538
Modell B,2,0.7263,0.6902,0.5593
Modell B,3,0.7041,0.7087,0.5503
Modell B,4,0.7162,0.7899,0.574
Modell B,5,0.725,0.6942,0.5532
Modell B,6,0.7253,0.6873,0.5907
Modell B,7,0.7022,0.7027,0.5447
Modell B,8,0.6935,0.6881,0.6099
Modell B,9,0.676,0.729,0.6027
Modell B,10,0.6729,0.6969,0.6029
Modell B,11,0.6642,0.6703,0.6195
Modell B,12,0.6625,0.6863,0.618
Modell B,13,0.6487,0.694,0.6213
Modell B,14,0.6425,0.6934,0.6248
Modell B,15,0.6381,0.7276,0.5931
Modell C,1,0.7065,0.693,0.4819
Modell C,2,0.6963,0.6928,0.512
Modell C,3,0.6938,0.6935,0.522
Modell C,4,0.6936,0.6936,0.4941
Modell C,5,0.6931,0.6935,0.4942
Modell C,6,0.693,0.6934,0.4938
Modell C,7,0.6929,0.6933,0.5176
Modell C,8,0.6919,0.6964,0.4305
Modell C,9,0.6903,0.6925,0.5039
Modell C,10,0.6885,0.6817,0.6318
Modell C,11,0.6902,0.6888,0.5492
Modell C,12,0.688,0.6839,0.6078
Modell C,13,0.6894,0.6918,0.5359
Modell C,14,0.6905,0.686,0.5944
Modell C,15,0.6884,0.6815,0.6235
E0 Overfit-Test,1,0.6978,,
E0 Overfit-Test,2,0.697,,
E0 Overfit-Test,3,0.699,,
E0 Overfit-Test,4,0.6931,,
E0 Overfit-Test,5,0.6905,,
E0 Overfit-Test,6,0.6881,,
E0 Overfit-Test,7,0.6777,,
E0 Overfit-Test,8,0.6709,,
E0 Overfit-Test,9,0.637,,
E0 Overfit-Test,10,0.5664,,
E0 Overfit-Test,11,0.6177,,
E0 Overfit-Test,12,0.6252,,
E0 Overfit-Test,13,0.5804,,
E0 Overfit-Test,14,0.5271,,
E0 Overfit-Test,15,0.4809,,
E0 Overfit-Test,16,0.439,,
E0 Overfit-Test,17,0.3436,,
E0 Overfit-Test,18,0.3506,,
E0 Overfit-Test,19,0.3676,,
E0 Overfit-Test,20,0.4256,,
E0 Overfit-Test,21,0.4599,,
E0 Overfit-Test,22,0.3069,,
E0 Overfit-Test,23,0.2501,,
E0 Overfit-Test,24,0.2818,,
E0 Overfit-Test,25,0.2152,,
E0 Overfit-Test,26,0.1767,,
E0 Overfit-Test,27,0.1391,,
E0 Overfit-Test,28,0.2193,,
E0 Overfit-Test,29,0.1678,,
E0 Overfit-Test,30,0.1241,,
E0 Overfit-Test,31,0.0989,,
E0 Overfit-Test,32,0.0631,,
E0 Overfit-Test,33,0.0537,,
E0 Overfit-Test,34,0.0638,,
E0 Overfit-Test,35,0.0321,,
E0 Overfit-Test,36,0.0586,,
E0 Overfit-Test,37,0.0288,,
E0 Overfit-Test,38,0.0107,,
E0 Overfit-Test,39,0.0179,,
E0 Overfit-Test,40,0.0253,,
E0 Overfit-Test,41,0.0281,,
E0 Overfit-Test,42,0.0154,,
E0 Overfit-Test,43,0.0069,,
E0 Overfit-Test,44,0.0152,,
E0 Overfit-Test,45,0.0088,,
E0 Overfit-Test,46,0.0028,,
E0 Overfit-Test,47,0.02,,
E0 Overfit-Test,48,0.0047,,
E0 Overfit-Test,49,0.1489,,
E0 Overfit-Test,50,0.0141,,
E0 Overfit-Test,51,0.0437,,
E0 Overfit-Test,52,0.0302,,
E0 Overfit-Test,53,0.0119,,
E0 Overfit-Test,54,0.0143,,
E0 Overfit-Test,55,0.0093,,
E0 Overfit-Test,56,0.0143,,
E0 Overfit-Test,57,0.0046,,
E0 Overfit-Test,58,0.0076,,
E0 Overfit-Test,59,0.0038,,
E0 Overfit-Test,60,0.001,,
E0 Overfit-Test,61,0.0227,,
E0 Overfit-Test,62,0.0008,,
E0 Overfit-Test,63,0.0042,,
E0 Overfit-Test,64,0.0014,,
E0 Overfit-Test,65,0.0081,,
E0 Overfit-Test,66,0.0932,,
E0 Overfit-Test,67,0.0025,,
E0 Overfit-Test,68,0.0156,,
E0 Overfit-Test,69,0.0156,,
E0 Overfit-Test,70,0.0092,,
E0 Overfit-Test,71,0.002,,
E0 Overfit-Test,72,0.0044,,
E0 Overfit-Test,73,0.024,,
E0 Overfit-Test,74,0.0043,,
E0 Overfit-Test,75,0.0003,,
E0 Overfit-Test,76,0.0006,,
E0 Overfit-Test,77,0.0015,,
E0 Overfit-Test,78,0.0019,,
E0 Overfit-Test,79,0.0001,,
E0 Overfit-Test,80,0.0007,,
